"Sr.No","Type","Name of the University","Address","Zip","state","Status"
"345","Deemed to be Universities","Gokhale Institute of Politics & Economics","846 Shivajinagar, BMCC Road, Pune","411004","Maharashtra","Section-III & 12(B)"
"346","Private","Gokul Global University","GOKUL GLOBAL UNIVERSITY,NEAR SUJANPUR PATIA,OPPOSITE IOC DEPOT,STATE HIGHWAY-41,SIDDHPUR-384151Near G. R. S. L., Sujanpur PatiaSidhpur, Dist- Patan","384151","Gujarat","2(f)"
"347","State","Gondwana University","M.I.D.C. Road ComplexGodchiroli, Maharashtra","422 605","Maharashtra","2(f) & 12(B)"
"348","Private","Gopal Narayan Singh University","Jamuhar, PO-Jamuhar, Dist-Rohtas","821305","Bihar","2(f)"
"349","State","Govind Guru Tribal University","Collector choraha, Subhash Nagar, Banswara","327001","Rajasthan","2(f)"
"350","Deemed to be Universities","Graphic Era","Bell Road, Clement Town, Dehradun","248002","Uttarakhand","Section-III"
"351","Private","Graphic Era Hill University","510, Society Area, Clement TownDehradun (Main campus at Dehradun, Second campus at Garhwal Region (Belkhet Gram, District Pauri Garwal) and Third campus at Bhimtal Area of District Nanital, Dehradun (Uttarakhand)","248002","Uttarakhand","2(f)"
"352","Private","GSFC University","Vigyan BhavanPO FertilizernagarDist. Vadodara","391750","Gujarat","2(f)"
"353","State","Gujarat Ayurveda University","Gujarat Ayurved University, Opp. B Division Police Station, Guru Dwara Road, Jamnagar-361008Jamnagar-361 008","361008","Gujarat","2(f) & 12(B)"
"354","State","Gujarat Biotechnology University","C/o Gujarat State Biotechnology Mission,Block 11, 9th Floor, Udyog Bhawan,Gandhinagar","382011","Gujarat","2(f)"
"355","Private","Gujarat Maritime University","Sagar Bhavan, Ground Floor,Sector-10-A,Opp. Air Force Centre,CHH Road, Gandhinagar","382010","Gujarat","2(f)"
"356","State","Gujarat National Law University","ATTALIKA AVENUE, KNOWLEDGE CORRIDOR, KOBA, SUB P.O. KOBA, GANDHINAGAR, GUJARATKoba (Sub P.O)Gandhinagar,","382426","Gujarat","2(f) & 12(B)"
"357","State","Gujarat Natural Farming and Organic Agricultural University","ATIC Building, Borsad Chokdi,Anad,","388001","Gujarat","2(f)"
"358","State","Gujarat Technological University","Nr.Vishwakarma Government Engineering College Nr.Visat Three Roads, Visat - Gandhinagar Highway Chandkheda, Ahmedabad Nr.Visat Three Roads, Visat - Gandhinagar HighwayChandkheda, Ahmedabad","382424","Gujarat","2(f) & 12(B)"
"359","State","Gujarat University","P.B.No.4010, Navrangpura,Ahmedabad","380 009","Gujarat","2(f) & 12(B)"
"360","State","Gujarat University of Transplantation Sciences","IKDRC-ITS Premises, Civil Hospital - Medicity Campus, Asarwa, Ahmedabad – 380 016, Gujarat, India. Civil Hospital Campus,Asarwa, Ahmedabad","380016","Gujarat","2(f)"
"361","Deemed to be Universities","Gujarat Vidyapith","Ashram Road, Ahmedabad","380014","Gujarat","Section-III"
"362","State","Gulbarga University","GULBARGA UNIVERSITY, KALBURGI, KARNATKAPIN - 585 106, KARNATAKA","585106","Karnataka","2(f) & 12(B)"
"363","State","Guru Angad Dev Veterinary & Animal Sciences University","Ferozepur Road, Ludhiana","141004","Punjab","2(f) & 12(B)"
"364","Central","Guru Ghasidas Vishwavidyalaya","Main Campus,Koni,Bilaspur","495009","Chhattisgarh","2(f) & 12(B)"
"365","State","Guru Gobind Singh Indraprastha Vishwavidyalaya","Sector-16C, Dwarka,  New Delhi","110078","Delhi","2(f) & 12(B)"
"366","State","Guru Jambeshwar University of Science and Technology","Hisar-Delhi Bypass Rd, Hisar, Haryana","125001","Haryana","2(f) & 12(B)"
"367","State","Guru Jambheshwar University","Hardadpur, Moradabad,","244001","Uttar Pradesh","2(f)"
"368","Private","Guru Kashi University","Sardugah Road, Talwandi saboBathinda, Punjab","151302","Punjab","Category-I"
"369","State","Guru Nanak Dev University","G.T Road Amritsar, Amritsar","143005","Punjab","2(f) & 12(B)"
"370","Private","Guru Nanak University","Ibrahimpatnam, Ranga Reddy District, Hyderabad","501506","Telangana","2(f)"
"371","State","Guru Ravidas Ayurved University","Una Rd, Hoshiarpur","146001","Punjab","2(f)"
"372","State","Gurugram University","Gurugram University, Sec-51, Mayfield Garden, Gurugram Haryana Gurugram, Haryana Sector-51,Gurugram","122018","Haryana","2(f)"
"373","Deemed to be Universities","Gurukul Kangri Vidyapeeth","Jagjeetpur, Haridwar","249404","Uttarakhand","Section-III & 12(B)"
"374","Private","Gyanmanjari Innovative University","Survey No. 30, Sidsar Road, Bhavnagar,","364060","Gujarat","2(f)"
"375","Private","Gyanodaya University","Village- SuwakhedaDistrict-NeemuchMadhya Pradesh","458441","Madhya Pradesh","2(f)"
"376","Private","Gyanveer University","Village- Maa-Emliya, Ph-20, Block-Rahatgarh, Sagar","470115","Madhya Pradesh","2(f)"
"377","State","Harcourt Butler Technical University","Nawabganj, Kanpur","208002","Uttar Pradesh","2(f) & 12(B)"
"378","State","Harichand Guruchand University","North 24 parganas","743245","West Bengal","2(f)"
"379","State","Haridev Joshi University of Journalism and Mass Communication","II Floor, Rajiv Gandhi Vidya Bhavan, Shiksha Sankul, JLN Marg, Jaipur","302015","Rajasthan","2(f)"
